region,gender,relocated,wage,experience,education,age,other_work,health,marital_status,pension,power_ladder,wealth_ladder,NCAT1,NCAT2,NCAT3,NCAT4,NCAT5,NCAT6,total_hh_income,has_wage
1,1,1,0,47,3,65,2,2,2,1,3,3,0,0,0,0,1,2,68022.61,FALSE
1,2,1,0,41,5,61,2,3,2,1,2,3,0,0,0,0,1,2,68022.61,FALSE
1,2,1,0,47,6,66,2,3,5,1,2,3,0,0,0,0,0,1,15210,FALSE
1,2,1,0,11,4,66,2,3,5,1,2,2,0,0,0,0,0,1,11900,FALSE
1,2,1,28000,40,5,66,2,3,5,1,4,4,0,0,0,0,0,1,40397.59,TRUE
1,2,2,70000,20,10,43,2,3,3,2,7,7,0,0,0,1,0,0,72411.03,TRUE
1,2,1,22000,20,3,43,2,2,3,2,3,2,0,1,1,1,0,0,75000,TRUE
1,1,2,50000,26,3,42,2,2,3,2,4,4,0,1,1,1,0,0,75000,TRUE
1,2,2,14500,19,6,40,2,2,2,2,3,3,0,1,2,1,0,0,64400,TRUE
1,1,1,0,99999996,5,20,2,1,1,2,4,4,0,1,2,1,0,0,64400,FALSE
1,1,1,20000,21,5,42,2,1,2,2,3,3,0,1,2,1,0,0,64400,TRUE
1,2,1,30000,43,10,65,2,3,4,1,4,4,0,0,0,0,0,1,49900,TRUE
1,1,1,0,99999997,3,61,2,3,2,1,3,3,0,0,0,0,1,1,69119.59,FALSE
1,2,1,21000,34,6,58,2,3,2,1,3,4,0,0,0,0,1,1,69119.59,TRUE
1,2,1,0,40,5,68,2,3,5,1,3,3,0,0,0,0,0,1,15000,FALSE
1,1,2,0,12,10,34,99999998,3,3,2,4,4,0,1,1,1,0,0,30865.08,FALSE
1,2,1,20000,9,2,31,2,1,3,2,3,3,0,1,1,1,0,0,30865.08,TRUE
1,2,1,46000,26,10,45,1,2,3,2,5,5,0,0,1,1,0,0,105000,TRUE
1,1,1,45000,33,5,54,2,3,3,2,5,5,0,0,1,1,0,0,105000,TRUE
1,2,1,20000,40,2,56,2,3,2,1,4,3,0,0,2,0,0,1,63674.54,TRUE
1,1,1,20000,28,5,50,2,3,2,2,4,3,0,0,2,0,0,1,63674.54,TRUE
1,1,1,0,15,3,38,1,2,1,1,5,5,0,0,2,0,0,1,63674.54,FALSE
1,2,1,35000,32,10,57,2,3,2,1,6,4,0,0,1,0,0,1,97900,TRUE
1,1,1,50000,30,10,56,2,2,2,2,5,5,0,0,1,0,0,1,97900,TRUE
1,2,2,0,21,4,55,2,4,2,1,4,4,0,0,1,0,0,1,47620,FALSE
1,1,1,25000,40,4,57,2,2,2,1,4,4,0,0,1,0,0,1,47620,TRUE
1,1,2,0,NA,NA,2,NA,3,NA,NA,NA,NA,1,0,0,1,0,1,45843.87,FALSE
1,2,1,0,55,6,82,2,4,5,1,3,3,1,0,0,1,0,1,45843.87,FALSE
1,2,2,0,99999996,5,20,2,2,1,2,4,3,1,0,0,1,0,1,45843.87,FALSE
1,1,1,0,41,4,65,2,4,2,1,4,4,0,0,0,0,1,1,33279.92,FALSE
1,2,1,0,41,6,61,2,3,2,1,2,3,0,0,0,0,1,1,33279.92,FALSE
1,2,1,0,27,10,46,2,3,2,2,5,4,1,0,1,1,0,0,106133.21,FALSE
1,2,1,0,NA,NA,1,NA,3,NA,NA,NA,NA,1,0,1,1,0,0,106133.21,FALSE
1,1,1,76000,25,10,44,2,3,2,2,5,6,1,0,1,1,0,0,106133.21,TRUE
1,1,1,45000,28,6,48,2,2,2,2,4,4,0,0,1,1,0,0,60375.48,TRUE
1,2,1,15000,16,6,45,2,2,2,2,6,4,0,0,1,1,0,0,60375.48,TRUE
1,2,2,30000,28,10,48,2,2,3,2,5,4,0,0,1,1,0,0,33200,TRUE
1,1,1,0,34,4,50,2,2,3,2,4,2,0,0,1,1,0,0,33200,FALSE
1,1,1,0,NA,NA,6,NA,2,NA,NA,NA,NA,1,1,1,1,0,0,59000,FALSE
1,2,1,21000,14,5,35,2,3,2,2,3,4,1,1,1,1,0,0,59000,TRUE
1,1,1,38000,17,5,36,2,2,2,2,4,5,1,1,1,1,0,0,59000,TRUE
1,1,1,20000,30,5,50,2,2,5,1,3,3,1,1,2,1,0,0,89000,TRUE
1,1,2,20000,18,5,35,2,1,2,2,4,4,1,1,2,1,0,0,89000,TRUE
1,1,2,0,NA,NA,2,NA,1,NA,NA,NA,NA,1,1,2,1,0,0,89000,FALSE
1,2,2,25000,6,6,28,2,1,2,2,4,4,1,1,2,1,0,0,89000,TRUE
1,2,1,0,22,4,64,2,3,5,1,4,4,0,0,0,0,0,1,14300,FALSE
1,1,1,0,38,5,63,2,3,2,1,4,5,0,0,0,0,1,1,39366.15,FALSE
1,2,1,15000,42,6,61,2,3,2,1,4,6,0,0,0,0,1,1,39366.15,TRUE
1,2,1,0,37,10,64,2,3,2,1,5,4,0,0,0,0,1,1,40450.02,FALSE
1,1,1,0,38,10,69,2,4,2,1,2,2,0,0,0,0,1,1,40450.02,FALSE
1,1,2,0,NA,NA,5,NA,2,NA,NA,NA,NA,2,1,1,1,0,0,107180,FALSE
1,1,1,40000,16,2,41,2,2,2,2,4,4,2,1,1,1,0,0,107180,TRUE
1,2,2,17000,4,2,31,2,2,2,2,6,5,2,1,1,1,0,0,107180,TRUE
1,2,1,27000,9,11,37,2,3,4,2,5,4,0,1,0,1,0,0,39000,TRUE
1,2,1,0,19,3,59,1,3,4,1,4,4,0,0,0,0,0,1,52200,FALSE
1,1,1,0,16,3,42,2,2,4,2,5,4,0,1,1,0,0,0,51500,FALSE
1,2,1,0,34,10,62,2,4,2,1,3,4,0,0,0,0,1,1,39110.04,FALSE
1,1,2,0,30,6,67,2,4,2,1,5,5,0,0,0,0,1,1,39110.04,FALSE
1,2,1,0,1,4,31,1,2,2,2,5,4,1,1,1,1,0,0,50000,FALSE
1,1,2,0,NA,NA,4,NA,2,NA,NA,NA,NA,1,1,1,1,0,0,50000,FALSE
1,1,2,30000,16,4,38,2,2,2,2,4,3,1,1,1,1,0,0,50000,TRUE
1,2,1,0,21,5,64,2,3,4,1,2,2,0,0,0,0,0,1,9800,FALSE
1,2,2,0,66,1,88,2,3,5,1,3,3,0,0,0,0,0,1,15700,FALSE
1,2,1,0,10,2,32,2,2,2,2,5,4,1,1,1,1,0,0,47250,FALSE
1,1,2,35000,19,4,38,2,2,2,2,4,3,1,1,1,1,0,0,47250,TRUE
1,1,1,0,NA,NA,0,NA,2,NA,NA,NA,NA,1,1,1,1,0,0,47250,FALSE
1,1,1,0,NA,1,17,2,3,1,1,5,3,0,1,0,1,0,0,24600,FALSE
1,2,1,0,22,6,42,1,3,5,2,4,3,0,1,0,1,0,0,24600,FALSE
